ov,Last updated (DD/MM/YY),Expiry Date?,Name,Service Type,Additional/other (separate each type with a semi-colon),"Details (who, what, when, where, why)",Region,City/ Town,Address,Post Code,Phone,URL,Email,Hours,Volunteer need?
Misha MccGwire,06/09/2017 To call HDS,,African Women's Clinic (Minority Ethnic Women’s & Girl’s Clinic),Women,Healthcare/ Mental Health / Disability,Minority Ethnic Women’s & Girl’s Clinic operates out of the Charlotte Keel Health Centre in Bristol. They are a NHS specialist FGM clinic.  They run a Drop in on the last Wednesday: of each month 9:30am to 12pm. ,South West,Bristol,"Charlotte Keel Health Centre,
Seymour Road, Easton, Bristol",BS5 0UA,"0117 902 7111 (direct line)
0117 902 7100 (switchboard",,mgw@gp-L81092.nhs.uk,,
Misha MccGwire,06/09/17,,Afro-Innovation Group,Befriending,Education; Employment/ Training/ Volunteering; Advice & Support,"The Afro-Innovation Group offers educational, social and cultural activities that provide opportunities for our beneficiaries to learn, network and develop skills that help them to integrate into the local community. They also provide training projects for members which includes IT training as well as music and arts based activities. They also provide opportunities for people to learn about different cultures through celebrations and festivals. Charity Number: 1124885",East Midlands,Leicester,"Floor 4, Office 409
 Charles Street
 Leicester,",LE1 1FB,0116 2081341,http://www.afroinno.org/,info@afroinno.org,Monday-Friday: 09.00-16.30,Yes
Misha MccGwire,September 2017,N/A,"Afshaan Hena, Barrister",Legal,,"Afshaan appears regularly before the First Tier and Upper Tier Tribunals as well as drafting grounds to from the First Tier to the Court of Appeal. She provides a full range of representation and advice in all areas of asylum work, entry clearance, Article 8 cases, deportation, Detained Fast Track, bail and cases relating to the Points Based System.",London,London,"10 Kings Bench Walk, Temple, London",EC4Y 7EB,020 73537742; 07551 969570,http://www.henalaw.co.uk,afshaan.hena@10kbw.co.uk,N/A,No
Holly Hollingsworth (Michelle Lam),24/07/17,,AIRE Centre,Legal,,"AIRE is a specialist charity which assists marginalised individuals and those in vulnerable circumstances to assert their rights. It provides free legal advice on EU free movement law, human trafficking, invisible migrants issues and European cross border justice issues etc. Must call or email in advance for appointment. Charity Number: 1090336",National,Central London,"Room 505, Institute of Advanced Legal Studies, Charles Clore House, 17 Russell Square",WC1B 5DR ,020 7831 4276,http://www.airecentre.org/,info@airecentre.org,Open 24/7,
Michelle Lam,31/07/17,,Akwaaba,"Social (clubs, groups)",Education; Food,"Akwaaba is a Hackney-based social centre for refugees, asylum seekers and other migrants, offering hot food, social support, informal English classes, computers and Wi-Fi, arts and music, activities for young people, and bike repair and cycle training. The aim of Akwaaba is to reduce social isolation, foster solidarity and offer practical and emotional support to vulnerable members of our community.",London,,"Princess May Primary School
Barrett's Grove Entrance (off Stoke Newington Road)
",N16 8AJ,07516 675995 ,http://akwaaba.org.uk/,akwaabalondon@gmail.com,Sunday: 14.00-18.00,
Misha MccGwire,08/09/2017 TO Call HDS,,Albany Solicitors,Legal,,"Albany Solicitors specialise in all aspects of Asylum, Nationality and Immigration law and act for a diverse range of clients from applications to higher court appeals. They offer specialist legal advice and immigration services for businesses, education providers and individuals. Albany Solicitors also holds a contract with the Legal Aid Agency enabling them to offer advice and assistance in Asylum and certain categories of immigration law without financial charge to clients on state benefits or a low income.
Please do NOT refer people directly to Albany Solicitors. Albany solicitors work out of Bristol Refugee Rights and appointments may be made for those who attend the BRR drop-in.",South West,Bristol,"Park House Business Centre
10 Park Street
Bristol",BS1 5HX,02920 472 728,http://albanysolicitors.co.uk/,Info@albanysolicitors.co.uk,,
Misha MccGwire,08/09/17,,All African Women's Group,Women,Trafficking & Gender Based Violence,"All African Women's Group campaigns is a self help group of women asylum seekers, immigrants and refugees based at the Crossroads Women's Centre. ",London,North London,"Crossroads Women's Centre 
25 Wolsey Mews
London ",NW5 2DX,020 7482 2496 ,http://www.womenagainstrape.net/category/tags/all-african-womens-group,aawg02@gmail.com,Monday-Friday: 13.30-16:00,
Misha MccGwire,September 2017,N/A,Alnoure Academy,Education,,"Alnoure Academy is an independent non-profit community Arabic school organisation for GCSE and A-Level pathways. Students are from a range of communities and a wide variety of backgrounds including Iraqi, Palestinian, Bangladeshi, Polish, and English. Classes cost £7 per week to cover the running costs of the school. Charity Number: 1168582",South East,Brighton,"Alnoure Academy, Hove Park, Valley Campus, Hangleton Way, Hove",BN3 8AA,079 35293834,http://www.alnoureacademy.org,Contact form: http://www.alnoureacademy.org/contact-us/,Saturday: 10.30-13.30,n/a
Misha MccGwire,08/09/17,,Amnesty International - UK Section Charitable Trust,Advocacy,,Amnesty International UK's Charitable Trust promotes and advocates for the rights set out in the Universal Declaration of Human Rights. Charity Number 1051681,National,,"Amnesty International UK
Human Rights Action Centre
17-25 New Inn Yard
London
",EC2A 3EA,020 7033 1500,https://www.amnesty.org.uk/amnesty-international-uk-charitable-trust,governance@amnesty.org.uk ,,
Misha MccGwire,08/09/2017,,Art Refuge - UK,"Social (clubs, groups)",Education,"Art Refuge UK is equipped to respond appropriately through art and art therapy in a range of circumstances, informed by decades of collective experience and specialisms in trauma work, psychosocial approaches, transiting populations and collaborative programmes. They work with people who have been displaced through causes such as armed conflict, trafficking, natural disaster, famine, or political or religious persecution. Charity Number 1114353
",South West,Bristol,"30, The Coach House, 2, Upper York Street, Bristol",BS2 8QN,,https://www.facebook.com/artrefugeuk/,info@artrefugeuk.org,,
Celia Newell (Michelle Lam),26/07/17,,Article 26 (One of Helena Kenedy Foundation initiatives B60),Education,,The main aim of Helena Kennedy Foundation's Article 26 is to promote access to Higher Education for people who have fled persecution and sought asylum in the UK. This includes a full tuition fee bursary and funding to meet some of the additional costs associated with studying. They also have resrources available via their website to support people in encouraging universities to adopt the bursary scheme. Applicants must have been offered Univerisity placement before applying. Charity Number 1074025,National,London,"Room 243A, University House, University of East London, Water Lane, Stratford",E15 4LZ,,http://www.hkf.org.uk/article_26.php,article26@hkf.org.uk,N/A,
Misha MccGwire,08/09/17,,ASHA (Asylum Support Housing Advice),Housing,,"ASHA is a non-profit voluntary organisation that helps asylum seekers whose applications have been refused and whose status renders them homeless and destitute. They support people with applications for accommodation from the Home Office (asylum support). This includes applying for support and challenging negative decisions and discontinuations of support. They also provide support when asylum support is not paid correctly, when it's terminated early or when the standard is not adequate.",North West,Manchester,"159 Princess Road, Moss Side, Manchester",M14 4RE,0161 227 8555,http://gmiau.org/,info@asha.gmiau.org.uk,"Wednesday: 9.30 - 12.30, Thursday 9.30 - 12.30",
Misha MccGwire,,,Ashley Housing Association/Community Housing,Housing,,"Ashley Community Housing is a Refugee Resettlement Service in Bristol, Birmingham and Wolverhampton. They support the settlement and resettlement needs of refugees, vulnerable homeless and other displaced people, to develop their independence, promote their positive contribution to the community and ease their integration into UK life. Furthermore, they have established a subsidiary training arm 'Himilo Training ' they are committed to providing tenants with independence through the development of their language, IT literacy and employability skills.",West Midlands,Sandwell,"Victoria Park Skills Centre, Corbett Street, Smethwick, West Midlands",B66 3PU,0330 113 6608,http://www.ashleyhousing.com,info@ashleyhousing.com,,
Misha MccGwire,07/09/2017,,Ashley Housing Association/Community Housing,Housing,,"Ashley Community Housing is a Refugee Resettlement Service in Bristol, Birmingham and Wolverhampton. They support the settlement and resettlement needs of refugees, vulnerable homeless and other displaced people, to develop their independence, promote their positive contribution to the community and ease their integration into UK life. Furthermore, they have established a subsidiary training arm 'Himilo Training ' they are committed to providing tenants with independence through the development of their language, IT literacy and employability skills.",South West,Bristol,"Training Centre, Unit 1, Ashley Court, Ashley Road, St. Paul's, Bristol",BS6 5NW,0117 954 0395,http://www.ashleyhousing.com,info@ashleyhousing.com,,
Misha MccGwire,07/09/2017,,Ashley Housing Association/Community Housing,Housing,,"Ashley Community Housing is a Refugee Resettlement Service in Bristol, Birmingham and Wolverhampton. They support the settlement and resettlement needs of refugees, vulnerable homeless and other displaced people, to develop their independence, promote their positive contribution to the community and ease their integration into UK life. Furthermore, they have established a subsidiary training arm 'Himilo Training ' they are committed to providing tenants with independence through the development of their language, IT literacy and employability skills.",West Midlands,Wolverhampton ,"Third Floor, Derwent House, 42 - 46 Waterloo Road, Wolverhampton, West Midlands",WV1 4XB,0190 242 9163,http://www.ashleyhousing.com,info@ashleyhousing.com,,
Misha MccGwire,07/09/2017,,Ashley Housing Association/Community Housing,Housing,,"Ashley Community Housing is a Refugee Resettlement Service in Bristol, Birmingham and Wolverhampton. They support the settlement and resettlement needs of refugees, vulnerable homeless and other displaced people, to develop their independence, promote their positive contribution to the community and ease their integration into UK life. Furthermore, they have established a subsidiary training arm 'Himilo Training ' they are committed to providing tenants with independence through the development of their language, IT literacy and employability skills.",West Midlands,Birmingham,"Ashley Community Housing Ltd, 1st and 2nd Floors, 93 Cape Hill, Smethwick, Birmingham",B66 4SA,0121 565 3384,http://www.ashleyhousing.com,info@ashleyhousing.com,,
Misha MccGwire,07/09/2017 To Call HDS,,Ashley Housing Association/Community Housing,Housing,,"Ashley Community Housing is a Refugee Resettlement Service in Bristol, Birmingham and Wolverhampton. They support the settlement and resettlement needs of refugees, vulnerable homeless and other displaced people, to develop their independence, promote their positive contribution to the community and ease their integration into UK life. Furthermore, they have established a subsidiary training arm 'Himilo Training ' they are committed to providing tenants with independence through the development of their language, IT literacy and employability skills. ",South West,Bristol,"Unit Easton Business Centre, Felix Road, Easton",BS5 0HE,44117 954 0433,http://ashleyhousing.com/contact-us/,info@ashleyhousing.com,,
Misha MccGwire,12/09/2017,,Ashoka Foundation,Employment/ Training/ Volunteering,Education,"Ashoka is a global network of social entrepreneurs, their aim is to collaborate to transform institutions and cultures worldwide so they support changemaking for the good of society. The four elements by which to achieve this are empathy, teamwork, new leadership, and changemaking. Ashoka also run a gamechanger school programme and supports innovative education. Charity Number: 1113246",London,London,"15 Old Ford Road
London
E2 9PJ
United Kingdom",E2 9PJ,020 8980 9416,http://uk.ashoka.org/,frutsch@ashoka.org OR infouk@ashoka.org,,
Holly Hollingsworth (Michelle Lam),24/07/17,,Asylum Aid,Employment/ Training/ Volunteering,Advice & Support; Healthcare/ Mental Health / Disability,"Asylum Aid provide a variety of services, including work training (English classes, Computer classes, job hunt support), free legal advice and representation to the most vulnerable and excluded asylum seekers, small business advice, health advice and immigration and nationality advice (fee starts at £80). Drop in available for Westminster residents. Referral needed for classes. Charity Number: 328729",London,North London,"Migrants Resource Centre
Berol House
25 Ashley Road
London 
",N17 9LJ,020 7354 9631,http://www.asylumaid.org.uk/,info@asylumaid.org.uk,Monday-Friday: 09.30-17.30,
Misha MccGwire,Sep-15,N/A,Asylum Help,Advice & Support,,"Asylum Help services are free of charge and are available to anyone entering the UK and applying for refugee status, or anyone who has had their refugee status refused. They can provide advice at every stage of the asylum application process, and they can assist with applying for accomodation and support if you are an asylum seeker. Both their helplines are free. OISC registration number : N200100480 ",National,N/A,Online,N/A,0808 8000630,http://www.asylumhelp.org,N/A,Monday-Friday: 08.30-17.30,N/A
,Birmingham Team Doing This,,Asylum Link Merseyside,Advice & Support,"Social (clubs, groups); Non-food items","Asylum Link provides friendship, help and advice and encourages the participation of asylum seekers and refugees in the service. It offers a wide range of services for asylum seekers and refugees. Most services are provided on a drop in basis, with appointments available for specialist activities. It provides advice, food, clothes and much more. Charity Number 1095180",,Liverpool,"St Anne's Centre, 7 Overbury Street,
Liverpool L7 3HJ",,0151 709 1713,http://www.asylumlink.org.uk/,info@asylumlink.org.uk,,
Misha MccGwire,12/09/17,,Asylum Support & Immigration Resource Team (ASIRT),Advice & Support,Legal; Advocacy,"Asylum Support and Immigration Resource Team (ASIRT) are an advocacy organisation working to support asylum-seekers, refugees and other people in the West Midlands who are or have been subject to immigration control. They work to provide prompt and independent support for advice on immigration and asylum and follow this up through casework and the submission of representations to the Home Office, welfare support and Tribunal representation. Their service is provided by appointment only and travel expenses can be provided in certain circumstances. ASIRT are a small organisation and prioritise emergency cases. Charity Number: 1098544",West Midlands,Birmingham,"ASIRT
 Balsall Heath Academy for Social Enterprise
 4 St Paul's Road
 Balsall Heath
 Birmingham",B12 8NG,0121 213 5893,http://www.asirt.org.uk/,admin@asirt.org.uk,,Yes
Rebecca Philips (Michelle Lam),25/07/2017,,Asylum Support Appeals Project,Legal,,"Asylum Support Appeals Project offers free, high-quality legal representation and advice to asylum seekers and refused asylum seekers appealing against the Home Office decisions to refuse or withdraw their housing, financial subsistence, or both and provides asylum support advice and training to frontline organisations, advice agencies and legal practitioners working with asylum seekers. They also operate an Advice Line, see website for details. Charity number: 1105625",London,London,"Studio 11/12, Container City Building, 48 Trinity Buoy Wharf, London",E14 OFN,0203 716 0283,http://www.asaproject.org/,illy@asaproject.org.uk  marina@asaproject.org.uk,"Monday: 14.00-16.00, Wednesday: 14.00-16.00, Friday: 14.00-16.00",
Misha MccGwire,12/09/2017,Website not working. Have emailed.,Asylum Welcome,Advice & Support,"Education; Social (clubs, groups); Food; Non-food items","Asylum Welcome helps asylum seekers and refugees with advice, food, English lessons, access to computers, opportunities to meet people and lots more (in oxfordshire). Charity no 1092265",South East,Oxford,"Asylum Welcome, 
Unit 7, Newtec Place, Magdalen Road
Oxford 
OX4 1RE, UK","OX4 1RE, UK",01865 722082,http://www.asylum-welcome.org/,advocacy@asylum-welcome.org,"Tuesday: 09.30-16.00, Wednesday: 09.30-16.00, Friday: 09.30-16.00",
Misha MccGwire,12/09/2017,,Avon and Bristol Law Centre,Legal,,"Avon and Bristol Law Centre provides specialist legal advice and representation to people who could not otherwise afford access to justice. Their solicitors focus on social welfare law issues such as community care, discrimination, employment, housing, immigration & asylum, mental health and welfare benefits to people living in Bristol and in some cases across the South West. Referrals through Bristol Refugee Rights.",South West,Bristol,"2 Moon Street
Stokes Croft
Bristol ",BS2 8QE,,,,,
Lucy Yates (Michelle Lam),24/07/17,,Bail for Immigration Detainees (BID),Legal,,"Bail for Immigration Detainees is an independent charity that exists to challenge immigration detention in the UK. They work with asylum seekers and migrants in removal centres and prisons, to secure their release by providing free legal advice,  information and support to immigration detainees to help them exercise their right to liberty and access to justice, preparing and presenting free applications for release on bail or temporary admission, providing legal advice and self-help materials on deportation, and preparing deportation appeals. 
Charity Number: 1077187",London,London,"Bail for Immigration Detainees
1b Finsbury Park Road
London ",N4 2LA,020 7456 9750,http://www.biduk.org/,enquiries@biduk.org,Monday-Thursday: 10.00-12.00,
Misha MccGwire,13/09/17,,Barnet Refugee Service,Advice & Support,Employment/ Training/ Volunteering; Children & Young People; Women; Advocacy ,"Barnet Refugee Service aims to provide information, advice and support services to asylum seekers and refugees. They work across various locations in Barnet to provide support on issues relating to legal, health or social issues. 
At this location, they run a Mother and Toddler group for Asylum Seekers and Refugees. 
Charity number: 1107965
",London,North London,"West Hendon Community Centre, Marsh Drive",NW9 7DG,0208 905 9002,http://b-r-s.org.uk/,Jana@b-r-s.org.uk,Tuesday: 10:00-23:59 (term time only),
Misha MccGwire,13/09/17,,Barnet Refugee Service,Advice & Support,Employment/ Training/ Volunteering; Children & Young People; Women; Advocacy ,"Barnet Refugee Service aims to provide information, advice and support services to asylum seekers and refugees. They work across various locations in Barnet to provide support on issues relating to legal, health or social issues. They have a team of pro bono solicitors from different firms of solicitors who provide legal advice every fortnight at their main office. This is by appointment only, you may do so over the phone or online.  
Charity number: 1107965
",London,North London,"8th Floor Podium, Hyde House, The Hyde, Colindale, London",NW9 6LH,020 89059002  extension 4,http://b-r-s.org.uk/,admin@b-r-s.org.uk,,
Misha MccGwire,13/09/17,,Barnet Refugee Service,Advice & Support,Employment/ Training/ Volunteering; Children & Young People; Women; Advocacy ,"Barnet Refugee Service aims to provide information, advice and support services to asylum seekers and refugees. They work across various locations in Barnet to provide support on issues relating to legal, health or social issues. At this location provide ealth services through the community hospital. Charity number: 1107965",London,North London,"Edgware Community Hospital, Burnt Oak Broadway, Edgware ",HA8 0AD,2089059002,http://b-r-s.org.uk/,admin@b-r-s.org.uk,Tuesday-Friday: 13:00-15:00.The asylum and immigration advice surgery is held on the first and third Wednesday: of every month.,
Misha MccGwire,13/09/17,,Barnet Refugee Service,Advice & Support,Employment/ Training/ Volunteering; Children & Young People; Women; Advocacy ,"Barnet Refugee Service aims to provide information, advice and support services to asylum seekers and refugees. They work across various locations in Barnet to provide support on issues relating to legal, health or social issues. At this location they provide ESOL classes. Charity number: 1107965",London,North London,"St Matthias Church, Rushgrove Ave, London ",NW9 6QY,2089059002,http://b-r-s.org.uk/,advice@b-r-s.org.uk,,
Misha MccGwire,13/09/17,,Barnet Refugee Service,Advice & Support,Employment/ Training/ Volunteering; Children & Young People; Women; Advocacy ,"Barnet Refugee Service aims to provide information, advice and support services to asylum seekers and refugees. They work across various locations in Barnet to provide support on issues relating to legal, health or social issues. At this location they run a job club, and run general advice clinics. Charity number: 1107965",London,North London - Barnet,"8th Floor Podium, Hyde House, The Hyde
Colindale,
London
",NW9 6LH,0208 905 9002,http://b-r-s.org.uk/,advice@b-r-s.org.uk,,
Amelia Cooper,,,Beacon: Bradford Ecumenical Asylum Concern,Advice & Support,Housing; Education,"Beacon offers CHAT language skill classes, McKenzie friend services for asylum seekers going through the legal system, and hosting. Charity number 1119463",,Bradford,"C/o Touchstone, 32 Merton Road,
Bradford",BD7 1RE,01274 727525,http://beaconbradford.org/,beacon@beaconbradford.org,,
Misha MccGwire,13/09/2017,,Bethel Community Church,Advice & Support,"Education; Children & Young People; Food; Non-food items; Social (clubs, groups); Women","
Bethel community Church is a Christian Church open to all faiths that offers support services and informal education, as well as advocacy support during drop ins. They run a drop in every day for young adults in need of homework support as well as a mums and toddlers club, Furthermore they run informal English classes for men and women separately and host a games night for men and a women’s drop in. Charity number: 1172841
",Wales,Newport,"40 Stow Hill, Newport, South Wales",NP20 1JG,01633 212327,http://www.bethelnewport.co.uk/,sanctuary@bethelnewport.co.uk,,Yes
Misha MccGwire,13/09/17,,Birmingham Community Hosting Network (BIRCH),Housing,"Befriending; Children & Young People; Social (clubs, groups)","BIRCH is a hosting network which aims to relieve the destitution of asylum seekers whose support and accommodation from the Home Office has been cut off. They have a growing network of volunteer community hosts who provide short term accommodation to those who have found themselves destitute with nowhere else to go. They run a family befriending project that matches young refugees (16-25) with volunteer families who offer to share a weekly or fortnightly meal. BIRCH also host a meet and greet project that brings children and their families housed in initial accommodation who are not attending school some respite from hostel accommodation. 10-20 Hosts at a time, 15-20 family befriending matches. Charity Number: 1151763",West Midlands,Birmingham,"149 -153 Alcester Road, Birmingham",B13 8JP,07708339362,http://birchnetwork.org/,birchnetwork@gmail.com,,Yes
Misha MccGwire,September 2017,N/A,Black and Minority Ethnic Community Partnership,Advice & Support,,"The Black and Minority Ethnic Community Partnership offer a drop-in service for refugees and asylum seekers every other Friday, 11am–2pm. It's a great opportunity to meet other refugees and migrants. They offer welfare benefits and advice, help with applications for documents such as naturalisation and travel and also offer information about hate crime. Charity Number: 1091127",South East,Brighton,"BMECP Centre, 10A Fleet Street",BN1 4ZE,0300 3031171,http://www.bmecp.org.uk,resourcecentre@bmecp.org.uk,,n/a
Misha MccGwire,September 2017,,Black and Minority Ethnic Young People's Project,Children & Young People,,"The Black and Minority Ethnic Young People's Project is a youth-led project for young people aged 11 to 25. They provide safe space and educational opportunities for young people to access support, to learn new skills through informal education, fun, socialising, sports, and arts activities led by and for young people. Charity Number: 1091127",South East,Brighton,"Ground Floor, The Ironworks, 30 Cheapside",BN1 4GD,01273 609298,http://www.bmeypp.org.uk,info@bmeypp.org.uk,Monday-Friday: 9:30-17:30,n/a
Misha MccGwire,July 2016,,"Black Minority Ethnic (BME) Psychotherapeutic Counselling Service, Brighton and Hove Wellbeing Service",Healthcare/ Mental Health / Disability,,"The BME pschotherapeutic counselling service is available to those clients who have been referred to the counsellor. However, the BME counsellor is happy to have an informal and confidential chat about options. You may wish to talk about yourself, a friend, or a family member. Professionals may wish to find out more about the service, too.",South East,Brighton,"BMECP Centre, 10A Fleet Street",BN1 4ZE,0300 3031171,N/a,BICS.brighton-and-hove-wellbeing@nhs.net,,n/a
Michelle Lam,31/07/17,,Bloody Good Period,Women,Non-food items,"Bloody Good Period provides sanitary protection for the women visiting the New North London Synagogue (NNLS), the New London Synagogue (NLS) Asylum Seeker Drop Ins and other food banks and centres in the UK. Contact via email for more details. Charity number 1122095",,,"New North London Synagogue, 
80 East End Road, Finchley, London",N3 2SY,,https://www.bloodygoodperiod.com/,Gabby@bloodygood-period.com,,
Michelle Lam,31/07/17,,Bloody Good Period,Women,Non-food items,"Bloody Good Period provides sanitary protection for the women visiting the New North London Synagogue (NNLS), the New London Synagogue (NLS) Asylum Seeker Drop Ins and other food banks and centres in the UK. Contact via email for more details. Charity number 1122095",London,London,"Archer Academy School House, Stanley Road Campus, Eagans Close,   London",N2 8GA,,https://www.bloodygoodperiod.com/,Gabby@bloodygood-period.com,,
Misha MccGwire,13/09/2017,,Boaz Trust,Advice & Support,"Food; Destitution & Debt; Non-food items; Social (clubs, groups); Legal","The Boaz Trust is a Christian charity serving destitute asylum seekers and refugees in Greater Manchester. They offer advocacy and pastoral support, as well as meeting practical needs like food. Charity Number: 1110344
",North West,Manchester,"Boaz Trust
First floor, 110 Oldham Road
Manchester ",M4 6AG,(0161) 202 1056,http://boaztrust.org.uk/,info@boaztrust.org.uk,,
Misha MccGwire,13/09/17,,Borderlands,Advice & Support,"Food; Social (clubs, groups); Education; Family","Borderland is a mentoring project to pair refugees with locals for support. It is normally for 3 -6 months and for 1 - 2 hours a week. They also act as a community centre for refugees to meet and socialise with each other. They host English classes on Mondays from 9:30am to 12pm and provide snacks and hot drinks. On Tuesdays from 9.30am to 3pm they have English and Maths classes with hot food and drinks as well as recreational activities through games arts and crafts. In addition they offer a service to help those filling out forms for documents. They also offer access to other service providers including medical support (NHS Primary Health Care), Ashley Community Housing, and the Red Cross.
Charity number: 1143313
",South West,Bristol,"Tolentino Hall, 
Lawford’s Gate, 
Bristol 
",BS5 0RE,447713695845,http://borderlands.uk.com/,enquiries.borderlands@gmail.com,"Monday: 09.30-15.00, Tuesday: 09.30-15.00",Yes
